en  0.02334996024
er  0.0137352707294
ie  0.00865081086291
ch  0.00826525940384
 de 0.00763873828285
ich 0.00739776862093
ein 0.00691582929709
in  0.00650618087183
der 0.00643388997325
sch 0.00551820525796
 di 0.00518084773127
nd  0.00515675076508
die 0.00513265379889
 ei 0.00481939323839
und 0.00472300537362
ine 0.00462661750886
den 0.00457842357647
te  0.00443384177932
ten 0.00436155088074
n d 0.00433745391455
 un 0.00421696908359
che 0.0039037085231
cht 0.00375912672595
gen 0.00363864189499
nde 0.00339767223307
 au 0.00339767223307
 da 0.00322899346972
ste 0.00315670257115
 ge 0.00313260560495
ter 0.00303621774019
es  0.00293982987542
as  0.00293982987542
 si 0.00289163594303
ung 0.00286753897684
 zu 0.00286753897684
t d 0.00277115111207
it  0.0026988602135
ne  0.00267476324731
ht  0.00257837538254
 in 0.00257837538254
eit 0.00253018145016
st  0.00250608448396
hen 0.00250608448396
ren 0.0024096966192
ach 0.0024096966192
ng  0.002385599653
 be 0.002385599653
rde 0.00228921178824
√ºr 0.00226511482204
on  0.00226511482204
n s 0.00219282392347
 wi 0.00219282392347
nen 0.00216872695728
ist 0.00216872695728
 se 0.00212053302489
lle 0.0020964360587
ere 0.0020964360587
das 0.0020964360587
ben 0.0020964360587
 ha 0.00207233909251
ert 0.00204824212632
nge 0.00202414516012
e d 0.00202414516012
ber 0.00202414516012
r d 0.00200004819393
ier 0.00200004819393
n w 0.00197595122774
 vo 0.00197595122774
nte 0.00195185426155
hre 0.00192775729536
de  0.00192775729536
auf 0.00192775729536
and 0.00192775729536
 mi 0.00192775729536
ent 0.00187956336297
 we 0.00187956336297
sen 0.00183136943059
rt  0.00183136943059
ner 0.0018072724644
ei  0.0018072724644
 er 0.0017831754982
ver 0.00175907853201
uch 0.00175907853201
mit 0.00173498156582
em  0.00171088459963
rte 0.00168678763344
f√º 0.00168678763344
aus 0.00168678763344
n e 0.00163859370105
ige 0.00163859370105
ers 0.00163859370105
ern 0.00163859370105
 al 0.00161449673486
sic 0.00159039976867
n S 0.00159039976867
an  0.00154220583629
um  0.00151810887009
rei 0.00151810887009
le  0.00151810887009
ger 0.00151810887009
eri 0.00151810887009
 wa 0.00151810887009
zu  0.0014940119039
e i 0.0014940119039
 an 0.0014940119039
tte 0.00146991493771
re  0.00146991493771
he  0.00146991493771
e S 0.00146991493771
bei 0.00146991493771
abe 0.00146991493771
 ni 0.00146991493771
sse 0.00144581797152
men 0.00144581797152
ar  0.00144581797152
sei 0.00142172100533
lic 0.00142172100533
est 0.00142172100533
och 0.00139762403913
isc 0.00139762403913
ebe 0.00139762403913
n i 0.00137352707294
 ve 0.00137352707294
n D 0.00134943010675
h d 0.00134943010675
ge  0.00134943010675
 is 0.00134943010675
ºr  0.00132533314056
sie 0.00132533314056
n u 0.00132533314056
lte 0.00132533314056
 f√ 0.00132533314056
wer 0.00130123617437
t s 0.00130123617437
r s 0.00130123617437
ler 0.00130123617437
iel 0.00130123617437
el  0.00130123617437
e e 0.00130123617437
ass 0.00130123617437
war 0.00127713920817
nic 0.00127713920817
e s 0.00127713920817
des 0.00127713920817
uf  0.00125304224198
mer 0.00125304224198
